index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
54,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Chocolates & Candies,Fabelle,56,70,Chocolates,4,"Fabelle Choco Deck is a unique multi-layered chocolate experience with three irresistible layers of chocolate. Now introducing Fabelle Choco French Dessert Inspired Layered Bar where the bar is inspired from the French Dessert - Mille Feuille. The middle layer is made of soft choco creme, nuts and crisps cradled between two layers of Milk Chocolate thereby re-creating the iconic French dessert.Fabelle has reimagined the way chocolates are meant to look, feel and taste. Indulge your senses with Fabelle's range of premium chocolate bars available in a unique format."
55,Extra Fine Green Peas,Gourmet & World Food,Tinned & Processed Food,Daucy,202.5,225,Beans & Pulses,4.5,"We bring for you Europe’s leading brand of canned vegetables from the Cooperative d’aucy Group, France, consisting of more than 25000 farmer members and 60 production sites. The history of Daucy began in Brittany in 1965. In 1979, d'aucy became part of a cooperative enterprise. Today, and for almost 50 years now, d'aucy has been trying to offer you the best of its vegetables, whether canned, frozen or in our prepared dishes. The vegetables are processed and packed within a few hours of picking, thus ensuring that the micronutrients are saved from deterioration. Each vegetable awakens in its own season, at its own pace so that you can enjoy all year round all their flavors and all their benefits, daucy's mission is to harvest them in the right season when they are ripe and then find the best way to keep them. Daucy guarantees top quality and traceability of its products. We ensure this guarantee by controlling all the stages of the production from the farmer’s field to the consumer’s plate. Daucy Extra Fine Green Peas are hand picked at their peak in order to ensure that only the best make it into the can. Filled with dietary fiber. Daucy selects its peas for their fondant and tenderness.Our canned peas are an excellent nutritional boost, which can be added to dishes or eaten straight out the can. Cook, steam or grill them to your taste. You can use them to prepare salads, side dishes, vegetable dishes or pickles."
56,Soothing Cucumber Facial Scrub With Apricot Seeds,Beauty & Hygiene,Skin Care,TJORI,299.4,499,Face Care,,"The soothing feel of cucumber meets the gentle exfoliation of apricot in our wonderful scrub. While the apricot cleanses the top layer of dead cells and reveals fresh, glowing skin from below, vitamin-rich cucumber cools it down gently. This non-abrasive scrub also reduces excess sebum production, which makes it perfect for those with oily skin."
57,Foochka,Snacks & Branded Foods,Ready To Cook & Eat,Shareat,60,60,"Papads, Ready To Fry",3.9,Unfried multigrain and hygienic Pani Puri Papad. We use high-quality grains for making the Puris made with an automatic machine from Italy. In 5 minutes you can make hygienic Pani puri at your home by using your choice of oil for frying.
58,Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Hair Care,Aroma Treasures,199.5,210,Hair & Scalp Treatment,4.4,"Our beautifully crafted Hair Spa Collection promises to be the perfect solution for nourishing and rejuvenating your tresses. Made with Argan Oil it revives moisture in the dull dry hair, reduces frizz, smooths unmanageable locks of curly hair, deeply nurtures hair shafts & follicles to prevent hair fall, repair split ends and strengthens the roots!Revitalising Hair Oil - The luxurious fusion of Moroccan Argan Oil, Sesame Oil, Olive Oil, Lavender and Geranium provides intense nutrition to revitalize dry and damaged hair.Follikare Wash - Precious blend of Moroccan Argan Oil, Hibiscus, and Ylang Ylang nudges away sebum to strengthen the hair follicles and improve hair growth.Follikare Deep Conditioning Mask - Perfect balance of Moroccan Argan Oil, Patchouli and Shea Butter restores hairs natural luster and provide deep nourishment to brittle, weak and frizzy locks.Restorative Nourishing Tonic - Exotic elixir of Moroccan Argan Oil, Chamomile, Watercress and Sage Extracts strengthens the root to prevent hair fall, enhance the volume and silken the texture of hair.Satin Feel Leave-On - Potent serum of Moroccan Argan Oil and Vitamin E repairs damaged hair strands, while moisturises and smoothens unmanageable dry frizzy hair.Argan - Liquid Gold - Aroma Treasures brings to you an exclusive Hair Spa Collection enriched with Argan Oil extracted from the kernels of Moroccos Argan tree."
59,"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Baby Bath & Hygiene,Quick Dry,199,199,Baby Health,3.7,"These bed protectors for babies bed from Quick Dry are quick absorbent that makes it dry faster. It protects the baby against the dust mites, bacteria and allergens. This leakproof protector is soft, cosy and smooth. It can be easily washed in the washing machine. It comes in a variety of colours with attractive print designs and sizes."
60,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,Cleaning & Household,Stationery,Prozo Plus,399,399,"Notebooks, Files, Folders",,"A5 Size (210x150mm) 
192 Pages Premium Natural Shade 80 GSM paper 
Flat Lay open easily Hardbound Diary with Premium PU Leather Top 
With Card Holder Perfect Binding with sewing 
Rounded Corners
Proudly Made in India"
61,"Atta Chalan - Stainless Steel, Size- No.8","Kitchen, Garden & Pets",Kitchen Accessories,Kvg,149,179,Kitchen Tools & Other Accessories,3.5,"This atta maida challan is made from high quality stainless steel. This is used for sieving wheat, rice, atta, maida and many more items."
62,Dog Supplement - Absolute Skin + Coat Tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,348.6,498,Pet Meals & Treats,4,"Give your pet the Glory of Healthy Skin and Coat with Drools Absolute Skin + Coat Tablet. The tablet helps make your pets coat healthier and shinier. It has the recommended formation which provides the coat with a healthy and natural sheen, while also helping keep the skin free from any allergy or disease."
63,"Peanut Butter - Creamy, Super",Gourmet & World Food,"Sauces, Spreads & Dips",Happilo,209.4,349,"Chocolate, Peanut Spread",4.3,"Happilo Super Crunchy Peanut Butter is made from high-quality peanuts and is very healthy & tasty. This delicious butter is an excellent source of protein and fibre. It is ideal for gym-goers, dieters, and joggers."
64,Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Biscuits & Cookies,Bisk Farm,35,35,"Marie, Health, Digestive",4,"Bisk Farm Sugar Free Petit Beurre is one of the best sugar free petit beurre for diabetic patients and for other health issues. They have a good flavor and these biscuits are made of salty, spice and sweet. It is hygienically baked and well packed in wrappers that makes them long lasting and remain fresh giving crispy taste. It is crispy and gives a superior taste."
65,Aqua Halo Rejuvenating Conditioner,Beauty & Hygiene,Hair Care,Azafran,168.75,225,Shampoo & Conditioner,1,"This Aqua Halo Rejuvenating Conditioner is an organic conditioner, which is specially formulated with moisturizing actives to add vibrancy and vitality to your hair. This natural hair conditioner provides long-lasting conditioning and colour protection. It controls unruly, dry and brittle hair and it is formulated for all hair types."
66,Ayurvedic Anti-Tan Face Pack,Beauty & Hygiene,Skin Care,TJORI,269.4,449,Face Care,,"A nourishing face pack that removes tan and brightens your face. Powered with fenugreek, milk powder and rose petals, this face pack delivers a boost of moisture to your skin, nourishing it while leaving it fresh and glowing."
67,Dog Supplement - Absolute Calcium Tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,339.15,399,Pet Meals & Treats,3.9,"Give your pet the Glory of Healthy Skin and Coat with Drools Absolute Skin + Coat Tablet. The tablet helps make your pets coat healthier and shinier. It has the recommended formation which provides the coat with a healthy and natural sheen, while also helping keep the skin free from any allergy or disease."
68,Battery Power Kids Toothbrush - Barbie,Beauty & Hygiene,Oral Care,Colgate,374.25,499,Electric Toothbrush,4,"Kids must brush their teeth at least 2 times a day and Colgate Kids Battery Operated Toothbrush is a fun way to encourage good oral care habits early on! The extra soft bristles, specially designed for kids, ensure gentle yet effective cleaning. This attractive Barbie toothbrush comes with a small oscillating head, which easily fits their small teeth and 2 replaceable AAA Alkaline batteries, which goes a long way. Easy on/off buttons ensures comfort brushing while the slim handle is easy to hold. The Colgate toothbrush also features fun character handles that make brushing more fun. Cleaning teeth couldn’t have been more fun! This powered toothbrush is not intended for children below 3 years of age. Read pack for complete instructions."
69,Organic Carom Seeds/Ajwain/Om Kalu,"Foodgrains, Oil & Masala",Masalas & Spices,Earthon,72,72,Whole Spices,,"Earthon's Ajwain is Best quality, organically grown, no preservative, no artificial colour and free from harmful chemicals or pesticides.
Ajwain also know as Bishop’s weed or Carom seeds are small brown colour seeds with a pleasant but strong odour."
70,"Padded Harness - 3/4 inch, Grey Colour","Kitchen, Garden & Pets",Pet Food & Accessories,Glenand,840,840,Pet Collars & Leashes,,These are soft padded harness for your active pets with light weight metal fitings making them completely safe for your pets.
71,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Beauty & Hygiene,Oral Care,Colgate,43,43,Toothpaste,4,"Kids must brush their teeth at least 2 times a day and Colgate Kids Motu Patlu Toothpaste is a fun way to ensure they enjoy good oral care habits early on! This delicious fruit flavoured toothpaste is specially designed for children of age 6 years and above who have newly erupted or developing permanent teeth. The toothpaste effectively cleanses their mouth, leaving it fresh. The kid’s toothpaste also provides clinically proven cavity and enamel protection. Sparking colourful gel of Colgate strawberry toothpaste makes brushing fun for kids. Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thoroughly clean. It ensures your kid’s smile gets brighter and cleaner with every use."
72,Pure & Gentle Face Wash,Beauty & Hygiene,Skin Care,Pears,120,150,Face Care,4.3,"Pears is the gentle way to keep your skin looking innocent and beautiful. It is enriched with pure glycerin and natural oils that gently moisturize skin to keep it smooth while its mild fragrance and soft lather ensure that your skin gets the pampering it deserves. Its natural glycerin provides moisture to your skin, making your face feel silky smooth while it stays clear and radiant! . Enriched with pure glycerine and natural oils that gently moisturize skin to keep it smooth. Mild fragrance and soft lather ensure that skin gets a well deserved pampering. Soap free washing preparation Pears Brand: With the goodness of glycerin & natural oils, Pears is trusted for being gentle, and is recommended by doctors and pediatricians worldwide. It keeps your skin soft and smiling with innocence. It is so pure that you can actually see through it! The pure and gentle face wash gives you fresh and clear skin in a gentle way. The face wash is suitable for frequent use as it has a soap-free formulation. Its mild fragrance will leave you feeling fresh and clean and this gentle wash not only cleans your skin but also rejuvenates it from deep within. This face wash will not leave your skin dry as it is enriched with glycerin and natural oils. So pamper your skin and nourish it at the same time with this mild face wash from Pears. You can carry this tube even in your bag, get this face wash right away!

Features and Benefits:
• Enriched with pure glycerin that gently moisturize the skin for a smooth feel.
• Deeply cleanse & wash away dead skin cells.
• This provides you a soap-free washing preparation.
• soap-free formulation.
• Fresh and renewed skin.
• Use twice a day for best results  For Beauty tips, tricks & more visitÃƒ€šÃ‚ https://bigbasket.blog/"
73,Sesame Seed Oil,Beauty & Hygiene,Skin Care,INATUR ,210,300,Aromatherapy,3.5,"Sesame seeds were one of the first crops processed for oil as well as one of the earliest condiments and were acquired from the seeds of Sesamum Indicum plant. Sesame contains Vitamin E that acts as an excellent antioxidant and thus is useful as a natural sunscreen lotion. Sesame oil acts as both moisturiser and emollient for the body. To prevent dry skin problems, some drops of sesame oil added to the bath water works wonders. Another benefit is that it slows down ageing because of its antioxidant properties. It also detoxifies the skin, helps to repair damaged skin cells and reduces antibacterial infections."
74,Til Dil Seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Mantra,70,70,Roasted Seeds & Nuts,3.6,"Mantra Til Dil is made from premium quality natural ingredients that have a great taste. It contains no preservatives, no added colours or flavours. Mantra Til Dil is a great way to indulge yourself naturally. The premium ingredients add a luxurious taste to it.  Perfect healthy snacks to tame your small hunger pangs."
75,"Penta Plastic Pet Water Bottle - Green, Wide Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,75,126,Water & Fridge Bottles,,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.
BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.
Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
76,Acne Pimple Kit For Acne & Pimple Removal,Beauty & Hygiene,Skin Care,Natures Essence,500,500,Face Care,3,"It is specially enriched with cloves, neem, and turmeric which dries acne and pimples naturally. It also helps in lightening the scars. It comes with Acne Magic Soap, Fresh Rose Toner, Orange Scrub Pack, Acne Pimples Cream and Acne Magic Pack."
77,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch","Kitchen, Garden & Pets",Kitchen Accessories,Bamboooz,135,299,Kitchen Tools & Other Accessories,4.3,"These skewers are made from bamboo and are treated and boiled. Bamboooz Bamboo Wood Twister Skewer/Picker Barbeque Disposable Stick is made with high-quality bamboo.  No chemicals are used to smoothen the sticks, nor bleach to make it look white. Whatever colour comes naturally, the same is brought to you. These are made in India."
78,& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bath & Hand Wash,Dettol,108,120,Bathing Bars & Soaps,4.6,"Your trusted Dettol offers a new range of Dettol Co-Created with Moms beauty bathing soaps. It is made by ingredients approved by moms and with minimal chemicals. This new range is free from parabens, harsh chemical residues, artificial dyes, and talc; it has fragrance infused with 100% natural jasmine essence. It gives 10 times better protection than any ordinary soap and is gentle on skin. Reassuringly, Dettol protects from a wide range of illness-causing germs and bacteria to help you stay healthy."
79,Amla Chatpata Dry Fruit,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Fresho Signature,49,65,Dry Fruits & Berries,,"Fresho Signature presents an array of dry fruits apart from the ordinary to give you the best of the best to indulge. Want to try something other than a regular fruit? This sweetened and spiced amla dry fruit is a healthy alternative to munch on when hunger strikes. It contains amla fruit, sulphurless sugar, cumin seed, black pepper, black salt, citric acid, cinnamon, asafoetida and ginger powder. Easy to carry, it makes a great snack to keep you going throughout the day.

Our spicy candied dry fruit is here to be your snack buddy and your healthy sugar high. They are sweetened with sulphurless sugar and liquid glucose and spiced to enhance the zing. There are 0 added preservatives, artificial colour and flavour to retain the original fruit essence and keep it natural and healthy."
80,"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Oral Care,Colgate,49,79,Toothbrush,3.9,"Kids must brush their teeth at least 2 times a day and Colgate Kids Spider-man Toothbrush is a fun way to encourage good oral care habits early on! This attractive extra-soft bristle toothbrush has extra soft bristles specially designed for children. It is ideal for kids of age 5 years and above who have baby teeth or developing permanent teeth. Extra soft, multi-height bristles on the toothbrush effectively clean big and small teeth, while the raised tip helps clean hard to reach back teeth. The kid’s toothbrush features a well-rounded handle; a thumb grip offering comfortable hold; a suction cup at the base for easy and fun upright storage and a soft plus safe tongue cleaner on the back of the toothbrush head. Cleaning teeth could never have been more fun! Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thoroughly clean. The toothbrush helps clean beyond teeth so your kid’s smile only gets brighter and cleaner."
81,Chips - Topica,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65,65,Chips & Corn Snacks,3.9,Made with Topica
82,Cup a Soup - Croutons Cream of Asparagus,Gourmet & World Food,"Pasta, Soup & Noodles",Batchelors,269.1,299,Imported Soups,,"Batchelor's Cup a Soup with Croutons Cream of Asparagus: Serving Suggestion: 1. Empty a Sachet into a cup or mug, 2. Add 230ml of boiling water, 3. Stir well, wait a few moments, 4. Sit back and enjoy. Ingredients: As Served (greatest first) Water, Asparagus (5%), Maize Starch, Glucose Syrup, Vegetable Oil, Croutons (1.3), (Wheat Flour, Vegetable Oil, Salt, Yeast, Rosemary Extract), Lactose, Potato Starch, Salt, Onion Powder, Milk Proteins, Flavouring, Flavours Enhancers (Monosodium Glutamate, Disodium 5-ribonucleotides), Emulsifier (Mono-and Diglycerides of Fatty Acids), Acidity Regulator (Dipotassium Phosphate), Yeast Extract (Contain Barley), Turmeric, Natural Flavouring (Contains Celery)."
83,Organic Dal - Masoor,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,96,96,Organic Dals & Pulses,3.9,"Pro Nature Organic Masoor Dal, that comes in a hygienically sealed packet ensuring its freshness and taste. It is a preparation of pulses (dried lentils, beans or peas) which have been stripped of their external hulls and split. It is also high in carbohydrates whilst being virtually fat free. It is also rich in B vitamins thiamine and folic acid as well as numerous minerals, especially zinc and iron."
84,Strawberry Ice Cream,Gourmet & World Food,Dairy & Cheese,Haagen-Dazs,225,225,Gourmet Ice Cream,,"Haagen-Dazs strawberry ice cream is sweet, summer strawberries which introduced to delicate cream and other superb ingredients. Packed over with actual fruit, the true taste of the strawberries comes shining through. This is the strawberry lover's concentrate of pure enjoyment. It is soft and delightful tastes. It is very yummy creamy frozen dessert with real fruit pieces. The ice cream supari is most thinly developed flavors to give you a distinctive flavor."
85,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,Cleaning & Household,Detergents & Dishwash,bb Combo,95,114,Dishwash Bars & Powders,,"Exo Dish Shine Round makes your vessels odorous and removes the stain. The fast action formula with the hyper-cleaning technology quickly removes the toughest of stains and makes your vessels shine like never before. This dishwashing bar does not leave traces on the vessel and hence it can be easily washed. It works hard on grease and stains, keeping your utensils fresh and shining. It contains many anti-microbial agents that keep your vessels away from dirt and microbes which do not create pealing or itching of your skin.Pril dishwash liquid has powerful active 2x molecules that cut away tough grease residue, removes the food smell and leaves the utensils sparkling clean."
86,Jupiter Water/Juice Glass Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,BB Home,479,629,Glassware,,"B Home glasses are crafted and manufactured in Taiwan to bring the best of the quality, clarity in glass and shine for elegance. These glasses are very superior in quality with high wall thickness and with a heavy bottom to flaunt your style and elegance to your guest at the first impression. These glasses are manufactured with high precision to ensure no wobbling on the rim or bottom of the glass. These are 100% food grade and dishwasher safe. These high-quality glasses can be used for serving juice, water or even alcoholic drinks during your parties.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use."
87,"Cheese - Feta Greek, Block",Gourmet & World Food,Dairy & Cheese,Fresho Signature,695.7,773,International Cheese,,Fresho Signature brings to you one of the most loved and simplest of cheeses- the luscious Greek Feta made from sheep's milk using traditional recipes. Its briny and salty taste makes it a perfect table cheese to nibble with some bread or crackers. This cheese is perfect for a fresh veggie salad because its grainy texture balances out the crunch from the veggies making it ideal for stuffing into grilled vegetables or even works well with desserts. We prepare the cheese into dices as per your individual requirements for each order. Store in an airtight container in below 5°C and consume within 5 days of packing.
88,Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,Pooja Needs,Shalimar,31.5,35,"Agarbatti, Incense Sticks",4.6,"3 in 1, Incense sticks, also known as agarbathi (or agarbatti) and joss sticks, in which an incense paste is rolled or moulded around a bamboo stick, are the main forms of incense in India. In India, burning incense is about spreading positivity in all around areas. Burning incense sticks is also a symbol of worshipping God and a symbol of peace and freshness.With powerful healing properties, these incense sticks can influence your life by increasing spirituality. The bamboo method originated in India and is distinct from the Nepali/Tibetan and Japanese methods of stick making without bamboo cores."
89,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,254.15,299,Bathing Bars & Soaps,4.2,"Favoured by over 380 million consumers, Godrej No.1 offers you 'nature's way to beauty' with carefully chosen natural ingredients to make your skin naturally beautiful. It is Grade 1 quality soap and the highest-selling soap of its kind in the country. Godrej No.1 Sandal and Turmeric soap come with the sweet, balsamic, woody scent of the sandal. It preserves the young nature of your skin giving you a perfect complexion. It protects your skin and gives you a youthful and young look."
90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Cuts & Sprouts,Supa Corn,55,55,Cut & Peeled Veggies,,"Ready To Eat Sweet Corn kernels, packaged using OXYFRESH Technology along with Chipotle masala sachet."
91,Ashwagandha Tablets,Beauty & Hygiene,Health & Medicine,Muniyal Ayurveda,120,120,Ayurveda,,"Muniyal Ayurveda Ashwagandha Tablet contains the Ayurveda herb, Ashwagandha, which has worked wonders with patients of cardiac and neural disorders for centuries. The tablet strengthens the nervous system and enables its users to handle stress better by elevating their stress threshold considerably. It is effective against hypertension and is also beneficial in renal complaints because of the diuretic properties of its ingredients. Its anti-inflammatory properties reduce the risk of fever, swelling and tenderness."
92,Hard Anodised Ezee-Pour Saucepan With Lid - L88,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins Futura,864.5,910,Tawa & Sauce Pan,4.6,Futura Hard Anodised Saucepan comes with a spout for pouring and is especially suitable for making tea or other beverages and boiling milk. The larger capacity saucepans have flared rims. All saucepans either come with a lid or are offered with an optional lid. It has one long handle.
93,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Dairy,Gowardhan,80.01,90,"Flavoured, Soya Milk",5,"Gowardhan Topp-Up Milk is made by 100 % of cow's milk and has 10% more protein. This elaichi milk will taste like a rich and luxurious treat. Liked by all ages, this healthy drink is perfect for your hunger pangs and its delicious taste will surely going to please your taste buds."
94,Namkeen - Madras Mixture,Snacks & Branded Foods,Snacks & Namkeen,Townbus,10,10,Namkeen & Savoury Snacks,4.1,Townbus Savoury Snacks are made by combining the freshest of ingredients with a traditional recipie. These authentic snacks will take you down memory lane and remind you of the traditional snacks your grandma used to make with love. Townbus namkeens are perfect to relish with your evening tea or coffee. They can also be used in chaat for added flavour or to customise it as per your liking. Townbus every bite has a story.
95,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack","Kitchen, Garden & Pets",Steel Utensils,Ramson,129,249,Steel Storage Containers,1.5,"These smart and stylish air-tight, spill-proof and moisture-free storage containers help keep your food fresh and tasty for longer. They have locks on 4 sides to prevent spills and moisture. The translucent lids let you easily see what's inside. These stainless steel containers are a big help when packing food for school and office. Durable and reusable, these containers can even be taken along for lunches and picnics. This size makes it ideal to store chapatis or any other Indian snacks."
96,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Beauty & Hygiene,Fragrances & Deos,Brut,179.4,299,Men's Deodorants,4,"Looking for an energetic fragrance that works for all occasions? Say hello to Brut Ocean Deodorant Spray. A fresh, aquatic version of the classic men’s fragrance, Brut Ocean leaves you feeling super fresh and energized through the day. It embodies an energetic experience – exactly what you need to either kickstart your day or post a great workout session. Enjoy this masculine, aquatic fragrance that lasts all day, all night. An iconic brand in the world of fragrances, Brut exemplifies absolute class, electrifying charisma and ultimate sophistication. So, what are you waiting for?"
97,Hair Remover Spray - Foam Lemon,Beauty & Hygiene,Feminine Hygiene,Dimples,1200,1200,Hair Removal,,"Denim BlackÃ‚ is made for the bold and the confident. The unmistakably intense and woody accord of Patchouli, Sandalwood & Cedar represent masculinity, while Amber, Labdanum & Oakmoss balances the composition with warm sensual tones.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,35,Hand Wash & Sanitizers,4.4,"Godrej Protekt Mr Magic handwash is a unique powder to liquid format, a first, in the world of handwashes! With Neem which is tough on germs and soothing Aloe Vera makes it gentle on skin. Extremely affordable compared to other handwashes in the market.Mr Magic handwash is not just green in colour, it's also green in nature. If all Indian households that use liquid handwash refills switch to Godrej Protekt Mr Magic refills, it would result in a greener, better world.So, add, pour, shake and wash to stay protected!"
99,Frankincense Oil,Beauty & Hygiene,Skin Care,Organic Harvest,258.75,345,Aromatherapy,3.7,"This Frankincense Oil balance, heals, tones and rejuvenates ageing skin. Its woody, warm, and balsamic aroma help calm the mind during meditation and creates a peaceful environment."
100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,1398,Diapers,4,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little one during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And their revolutionary Dry Touch Sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants."
